company,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
Maruti,2014,145500.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,450000.0
Skoda,2014,120000.0,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,370000.0
Honda,2006,140000.0,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,158000.0
Hyundai,2010,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,225000.0
Maruti,2007,120000.0,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,130000.0
Hyundai,2017,45000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,440000.0
Maruti,2007,175000.0,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,96000.0
Maruti,2001,5000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,45000.0
Toyota,2011,90000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,350000.0
Ford,2013,169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,200000.0
Renault,2014,68000.0,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,500000.0
Maruti,2005,100000.0,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,92000.0
Maruti,2009,140000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,280000.0
Maruti,2007,80000.0,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.0,5.0,200000.0
Maruti,2009,90000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,180000.0
Mahindra,2016,40000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,400000.0
Maruti,2016,70000.0,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,778000.0
Hyundai,2012,53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,500000.0
Maruti,2002,80000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,150000.0
Hyundai,2016,100000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,680000.0
Mahindra,2011,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,174000.0
Honda,2017,50000.0,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,950000.0
Maruti,2015,40000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,525000.0
Maruti,2012,72000.0,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,600000.0
Tata,2018,35000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,500000.0
Maruti,2016,45000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,575000.0
Maruti,2017,28000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,275000.0
Chevrolet,2013,70000.0,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,300000.0
Maruti,2009,120000.0,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,220000.0
Maruti,2018,60000.0,Petrol,Individual,Manual,First Owner,20.37,1248.0,79.4,8.0,20.37
Maruti,2017,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,670000.0
Fiat,2003,50000.0,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.0,5.0,70000.0
Maruti,2012,60000.0,Petrol,Individual,Manual,Second Owner,20.37,1248.0,79.4,5.0,20.37
Hyundai,2018,2388.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,730000.0
Maruti,2017,16200.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,650000.0
Maruti,2019,60000.0,CNG,Individual,Manual,Second Owner,20.37,1248.0,79.4,4.0,20.37
Maruti,2019,15000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,366000.0
Hyundai,2019,60000.0,Petrol,Individual,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Datsun,2016,42000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,150000.0
Tata,2011,60000.0,Diesel,Individual,Manual,Second Owner,20.37,1248.0,79.4,7.0,20.37
Maruti,2012,76000.0,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,150000.0
Jeep,2019,60000.0,Petrol,Individual,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Honda,2018,28900.0,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,925000.0
Honda,2013,86300.0,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,425000.0
Maruti,2018,23300.0,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,675000.0
Maruti,2018,32600.0,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,819999.0
Maruti,2018,10300.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,390000.0
Toyota,2014,60000.0,Diesel,Dealer,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Toyota,2013,60000.0,Diesel,Dealer,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Mercedes-Benz,2014,60000.0,Diesel,Dealer,Automatic,Second Owner,20.37,1248.0,79.4,5.0,20.37
Honda,2015,49800.0,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,425000.0
Mitsubishi,2013,60000.0,Diesel,Dealer,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Honda,2015,54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,600000.0
Maruti,2018,64000.0,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,850000.0
Honda,2015,63000.0,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,525000.0
Toyota,2016,60000.0,Diesel,Dealer,Automatic,Second Owner,20.37,1248.0,79.4,7.0,20.37
Toyota,2016,60000.0,Diesel,Dealer,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Audi,2013,60000.0,Diesel,Dealer,Automatic,Second Owner,20.37,1248.0,79.4,5.0,20.37
Toyota,2018,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Audi,2013,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Mercedes-Benz,2013,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Tata,2011,120000.0,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,265000.0
Hyundai,2011,110000.0,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,190000.0
Hyundai,2013,60000.0,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,425000.0
Maruti,2015,147000.0,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,630000.0
Ford,2017,25000.0,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,600000.0
Maruti,2019,30000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,650000.0
Volkswagen,2016,40000.0,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,540000.0
Honda,2015,135000.0,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,630000.0
Maruti,2018,30000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,448000.0
Volkswagen,2017,80000.0,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,500000.0
Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,745000.0
Maruti,2019,9850.0,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,1025000.0
Hyundai,2011,60000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,235000.0
Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,630000.0
Toyota,2015,60000.0,Diesel,Individual,Manual,Second Owner,20.37,1248.0,79.4,7.0,20.37
Maruti,2013,120000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,450000.0
Maruti,2012,120000.0,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,450000.0
Tata,2003,70000.0,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.0,5.0,50000.0
Volkswagen,2013,170000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,450000.0
Toyota,2016,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,8.0,20.37
Ford,2015,90000.0,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,610000.0
BMW,2016,60000.0,Petrol,Individual,Automatic,Second Owner,20.37,1248.0,79.4,5.0,20.37
Maruti,2017,10000.0,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,484999.0
Datsun,2016,49000.0,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,275000.0
Maruti,2016,32000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,315000.0
Maruti,2016,38000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,275000.0
Maruti,2015,78000.0,Diesel,Dealer,Manual,First Owner,19.3,1248.0,82.0,5.0,475000.0
Hyundai,2012,28000.0,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,290000.0
Maruti,2017,60000.0,Petrol,Dealer,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Maruti,2010,44000.0,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,225000.0
Volkswagen,2015,42000.0,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,455000.0
Hyundai,2015,45000.0,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,351000.0
Volkswagen,2012,12000.0,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,535000.0
Maruti,2009,55500.0,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,175000.0
Hyundai,2013,61500.0,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,525000.0
Maruti,2016,150000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,600000.0
Hyundai,2016,72000.0,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,565000.0
Maruti,2008,68000.0,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,120000.0
Hyundai,2017,110000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,725000.0
Maruti,2009,77000.0,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,185000.0
Tata,2010,100000.0,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,200000.0
Maruti,2019,10000.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,615000.0
Maruti,2016,100000.0,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,270000.0
Maruti,2018,35000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,610000.0
Mahindra,2014,60000.0,Diesel,Individual,Automatic,Second Owner,20.37,1248.0,79.4,8.0,20.37
